Company Name,Company URL,Date Victimsed,Status,View Count,Photo Count,File Count,Data Size (GB),Content,Financial Data,PII,Customer and Client Data,Employee and HR data,Legal Documents,Intellectual Property and Trade Secrets,Databases,Sensitive Communication,Healthcare Data,Utility and Infrastructure Data
RISSER OIL,http://https//risseroil.com/,"AUG 29, 2024",Up,17723,0,0,200,"P. N. Risser, Jr. became a distributor of petroleum products in parts of Pennsylvania, Maryland and West Virginia in the 1930’s. Mr. Risser and his family soon joined his parents as winter visitors in St. Petersburg each winter. One winter in St. Petersburg Mr. Risser decided to purchase a small Texaco distributorship in Pinellas County. In 1964 he was joined by his son, P. N. “Bud” Risser. They grew the St. Petersburg business and began acquiring Shell distributorships in North Florida in the 1970s. Bud eventually acquired the Texaco business from his father, “Pete” Risser moved to Lake City to focus on that business until his death decades later.",No,No,No,No,No,No,No,No,No,No
STILLER AESTHETICS,http://www.stilleraesthetics.com/,"AUG 29, 2024",Up,17177,24,30636,249,"Stiller Aesthetics offers a serene atmosphere with total privacy to ensure that our patients feel comfortable and relaxed.Stiller Aesthetics has been a part of the Spokane community for the last 3 years. At Stiller Aesthetics, our goal is to help you become the you, you want to be. We want our patients to feel comfortable and confident from the consultation to the last post-operative appointment. The Stiller Aesthetics team is knowledgeable and will work hard to ensure you have the best surgery experience possible. Each member of our staff is educated and proficient in their role to best support you. Our number one goal is to make sure all patients feel heard and supported in their journeys.",Yes,Yes,Yes,Yes,Yes,No,Yes,Yes,No,No
JM THOMPSON,http://https//jmthompson.com/,"AUG 28, 2024",Up,15133,15,31269,61,"""JMT is owned and operated by John, Dickie, and Marty Thompson, brothers who represent the third generation of a family business. JMT offers a full range of pre-construction, design-build, general contracting, and construction management services. For over 100 years, building owners and industry professionals have chosen JMT, not only because we provide quality work at a fair price, but because we prove time and time again that commitment and hard work deliver successful projects.""",Yes,Yes,Yes,Yes,Yes,No,Yes,Yes,No,Yes
KAHLE CPA,http:// www.kahle-cpa.com,"AUG 26, 2024",Up,7656,16,175669,426,"Kahle CPA PA is a company that operates in the Accounting Services industry. It employs 1to4 people and has 1Mto5M of revenue. We offer a broad range of services for business owners, executives, and independent professionals. We are affordable, experienced, and friendly.The information what we have will be available for downloading in 7 days.",Yes,Yes,Yes,Yes,Yes,No,Yes,Yes,No,No
BROOKSHIRE DENTAL - HOSPITALS & CLINICS,http://www.brookshiredental.com/,"AUG 26, 2024",Up,20565,5,63671,95,"Dr. Frieda V. Brookshire has been providing dental care in Tustin for over 22 years and practices compassionate, gentle dentistry. She also employs cutting-edge dental technology to ensure precision and comfort while you are in her chair.",No,Yes,No,Yes,No,No,Yes,Yes,Yes,No
DT-TECHNOLOGIES,http:// www.dttechnologies.eu,"AUG 25, 2024",Up,21025,16,604929,429,"DT GROUP ! We specialize in the manufacturing, purchasing and reselling of products essential for your machine tools. Our expertise focuses on clamping solutions, such as different types of work holding tools, and all types of clamping devices like collets and clamping heads, which play a crucial role in these processes. Our high-quality clamping devices are designed to meet the specific needs of the machine tool industry. Whether for tool clamping, bar clamping or workpiece clamping, we offer a wide range of reliable, high-performance collets and work holding clamps. We also offer emergency collets for sale when needed.",Yes,Yes,Yes,Yes,No,Yes,Yes,Yes,No,Yes
MELI (BCYF & BETHANY),http://https//www.meli.org.au/,"AUG 21, 2024",Up,20667,14,419617,215,"Meli is a Victorian not-for-profit committed to strengthening communities through supporting people. We offer a unique combination of services to support members of our community throughout their lifetime, from early childhood through to adolescence and adulthood. Meli’s heritage and unique combination of services allow for an insightful approach to wellbeing. Using our breadth and depth of expertise to innovate and contribute to our community through preventative, strengthening programs.",Yes,Yes,Yes,Yes,Yes,No,Yes,Yes,No,No
MASON CITY RECYCLING CENTER,http://www.mcrecycling.com/,"AUG 19, 2024",Up,18533,0,0,0,"Mason City Recycling Center has been manufacturing low dust Comfort Zone Cellulose since 1979. Family owned and operated. As our business grew, we relocated to our 50,000 square feet., 15 acre facility where we also operate our MRF (material recovery facility) which accepts and processes all types of recycling material. In 2012 we were voted Iowa’s top recycling center.",Yes,No,No,No,Yes,No,No,Yes,No,No
AMCO METAL INDUSTRIAL CORPORATION,http://amcocorporation.com/,"AUG 16, 2024",Up,20750,4,12699,24,"Amco Metal Industrial Corporation - Home Services, Roofing contractors, Other construction 461 SOUTH 7 TH AVECITY OF INDUS, CA 9174600000, US6268552550 Phone:(626) 855-2550 Toll Free:(888) 322-2626 Email:info@amcocorporation.com Fax:(626) 855-2551 Facebook Profile: https://www.facebook.com/157717484262778/ Yelp Page:https://www.yelp.com/biz/amco-metals-industrial-city-industry website: amcocorporation.com",No,No,Yes,No,Yes,No,Yes,Yes,No,No
HIESMAYR HAUSTECHNIK,http://www.hiesmayr.at/,"AUG 16, 2024",Up,20727,0,35463,32,"Hiesmayr Haustechnik GmbH is a company that operates in the Commercial & Residential Construction industry. It employs 20to49 people and has 5Mto10. Our many years of experience in projects with complex requirements make us well-equipped for all tasks related to ventilation Heating Sanitary service a competent and reliable partner. Our aim has always been to reconcile economic efficiency, environmental compatibility and human well-being through the use of the most modern and efficient technology .",No,No,No,No,No,No,No,Yes,No,Yes
