matched_company,website,Industry,Headquarters,Country,Description,Company Size,date_compromised,visits,data_size,compromised_category,RansomGroup
ciot | stone & tile,ciot.com,Wholesale Building Materials,"Montréal, Québec",Canada,"Established in 1950 in Montreal, Ciot is a major importer and distributor of Natural & Engineered Stone Slabs, Ceramic Tiles, Artistic Mosaics, Engineered Hardwood and Plumbing accessories.

A top-tier supplier for both residential and commercial markets, Ciot offers a vast, impressive selection of high-quality, exclusive products at affordable prices. Ciot’s customers benefit from access to the best and the latest global products, skilled artisans who work with the industry’s top technology, and helpful experts to assist you in making the best selections for all construction and renovation projects of all scopes.


The company operates showrooms in Montreal, Quebec City, Brossard, Toronto, Vaughan, Mississauga, Detroit, Atlanta, and New York.

---

En affaires depuis 1950, Ciot est aujourd’hui l’un des plus grands détaillants et importateurs de marbre, de granit, d’ardoise, d’onyx, de carreaux de céramique, de mosaïque et d’accessoires d’eau. 

Bénéficiant d’une présence formidable dans les marchés résidentiels et commerciaux, le groupe Ciot offre une vaste sélection de produits exclusifs à des prix abordables. Ciot dessert également le marché des architectes et designers. Nos professionnels trouvent les solutions les mieux adaptés aux besoins, et ce peu importe l’envergure du projet. Des hôtels aux projets résidentiels, nos représentants possèdent les connaissances et l’expertise pour donner la touche personnalisée qui fera d’un projet une grande réussite.

La société possède des espaces de vente à Montréal, Québec, Brossard, Laval, Toronto, Vaughan, Mississauga, Détroit, New York.",201-500 employees,2024-08-29 09:23:43,6242,1TB,['unknown'],RansomHub
nissan dubai,www.nissan-dubai.com,Retail,Dubai,الإمارات العربية المتحدة,,11-50 employees,2024-08-31 13:23:20,5820,50 GB,"['Databases', 'Customer and Client Data', 'PII', 'Employee and HR Data']",RansomHub
grant associates,grant-associates.uk.com,Architecture and Planning,"Bath, UK",United Kingdom,"Grant Associates is a pioneering international landscape architecture practice with offices in Bath, UK and Singapore, Asia.

Our work reconnects people with nature in insightful, delightful and distinctive ways whilst addressing the global challenges of urbanisation, the climate crisis and biodiversity extinction. 

Our design process is underpinned by a knowledge of human behaviour, nature and ecological science combined with innovative design technology. We bring original thinking, creative collaboration and are exploring what regenerative design and the circular economy means to landscape architecture. 

While we enjoy being playful and inventive, our approach isn’t just about experience and aesthetics. It’s about the creation of inspirational places and spaces that have purpose, a distinctive identity, feel good to be in, promote wellbeing and are part of a healthy, biodiverse ecosystem. 

Our varied portfolio includes ambitious large-scale, landmark projects through to small, perfectly formed local ventures. We work just as happily in urban and rural environments but we push and challenge ourselves every time, determined to remain at the forefront of change and relevance in the world of landscape architecture.",11-50 employees,2024-08-30 19:56:47,6214,400GB,['unknown'],RansomHub
gruyeria,www.gruyeria.ch,Real Estate,Bulle,France,"SAVOIR-FAIRE MYTHIQUE, TRADITION INTEMPORELLE
Dans le monde entier GRUYERIA a réalisé et réalise des projets professionnels ou privés répondant aux plus hautes exigences (hôtels, banques, appartements, villas, chalets, résidences secondaires.…). Riche d’un savoir-faire exceptionnel, en mains de la même famille depuis plus d’un siècle, GRUYERIA réunit tous les métiers de la décoration d’intérieur et de l’artisanat pour façonner des univers qui créent la différence. L’agencement est aujourd’hui notre coeur de métier et la réputation de GRUYERIA a largement dépassé les frontières.

Imaginer l’agencement d’un espace non-conventionnel, créer un mobilier sur mesure et/ou entreprendre des travaux plus conséquents, GRUYERIA  est capable de diriger tous les corps de métier et de coordonner leur travail à celui de l’architecte. Ce n’est pas un hasard si les plus grands d’entre-eux font appel à nous…

GRUYERIA compte aujourd’hui environ 80 employés qui partagent une même philosophie : un goût de l’esthétisme ancré dans la tradition et le savoir-faire. ",51-200 employees,2024-08-30 15:16:41,5783,80 GB,['unknown'],RansomHub
mvz für laboratoriumsmedizin,www.iph-bet.fr,Musicians,,,,2-10 employees,2024-08-30 15:07:28,5682,678 GB,['Customer and Client Data'],RansomHub
mineduc - ministerio de educación - guatemala,www.mineduc.gob.gt,,,,MINEDUC - Ministerio de Educación - Guatemala is a company based out of Guatemala.,,2024-08-30 14:45:55,5591,529 GB,['unknown'],RansomHub
swinburne university of technology,www.swinburne.edu,Higher Education,Melbourne,Australia,"Swinburne University of Technology is a world-class university creating social and economic impacts through science, technology and innovation. In 2022, Swinburne ranked in the top 250 global universities in the Academic Ranking of World Universities (ARWU), confirming its place in the top 1% of universities worldwide. Swinburne confirmed its place in the top 50 universities in the world under 50 years old, rising twelve places in the 2022 Times Higher Education (THE) Young University Rankings. 

We're a large and culturally diverse organisation with a desire to innovate and bring about positive change. Swinburne offers undergraduate and postgraduate courses, vocational education and research qualifications. We have three campuses located in the eastern suburbs of Melbourne — at Hawthorn, Croydon and Wantirna, as well as a fourth campus in Sarawak, Malaysia. The National Institute of Circus Arts is located in Prahran, Melbourne and we also offer a range of qualifications online through Swinburne Online and Open Universities Australia. In 2019, we unveiled new locations in Sydney and Vietnam and also opened an office in Nanjing, China – further connecting us to some of the fast-growing regions in the world.

Join the conversation, follow us on:
Facebook: https://www.facebook.com/swinburneuniversityoftechnology
Twitter: @Swinburne
Instagram: @Swinburne
TikTok: @SwinburneUniversity
YouTube: https://www.youtube.com/channel/UCzA9KPphNMJEK1J4gWebNQQ

Swinburne University of Technology: https://www.swinburne.edu.au/
Jobs at Swinburne: https://swinjobs.nga.net.au/cp/index.cfm?event=jobs.home

Swinburne University Sarawak, Malaysia campus: https://www.swinburne.edu.my/
For jobs at our Sarawak campus: https://www.swinburne.edu.my/hr/search-apply.php

CRICOS provider code: 00111D
Training Organisation Identifier (TOID): 3059
TEQSA PRV12148 Australian University","1,001-5,000 employees",2024-08-30 14:41:28,5615,366 GB,['unknown'],RansomHub
rainier arms,rainierarms.com,Defense & Space,"Auburn, Washington",United States,"Rainier Arms was started by enthusiasts for enthusiasts. We specialize in high end AR15s/M16s, parts & accessories. ""If we won't use it, we won't sell it."" Founded in 2005, Rainierarms.com already has more than 6000 unique products, and growing. Our technical advisory team consists of enthusiasts, law enforcement, & military personnel that continue to make our offerings unique and desirable in the market place.",51-200 employees,2024-08-26 14:32:51,6241,5GB,['unknown'],RansomHub
chwa,www.chwa.com.tw,Staffing and Recruiting,"GANTHIER, OUEST",Ayiti,"CHWA est une société de consulting spécialisé dans les domaines de la finance, de l'ingénierie, des NTIC et du tourisme exclusivement réservé au marché haïtien, qui a besoin de professionnels pour développer son économie. CHWA met l'accent sur la compétence, l'expérience, les connaissances du candidat peu importe son appartenance sociale dans la société haïtienne.

CHWA is a consulting company specialized in  finance, engineering, new technologies and tourism exclusively reserved to the haitian market that is in need of prfoesionnal individuals to help in the development of its economy. CHWA underlines the skills, the experience and the knowledge of its candidate regardless his or her social class in the haitian society.

CHWA se yon entrepriz kap chaché moun moun ki espécializé nan domèn finans, injenyè, teknologi, touris espesyalman pou maché ayisyen an ki bezwen pwofésyonèl pou dévlopé ékonomi li a. CHWA souliyé impotan konpetans, eksperyans, konésans kandida li yo nempot koté yo soti nan sosyete ayisyèn lan.",2-10 employees,2024-08-27 20:34:10,6733,425GB,['unknown'],RansomHub
mineduc - ministerio de educación - guatemala,www.spie-tec.de,,,,MINEDUC - Ministerio de Educación - Guatemala is a company based out of Guatemala.,,2024-08-26 12:56:29,7431,10GB,"['PII', 'Legal Documents']",RansomHub
