Company Name,Description,Headquarters,Country,Website,Industry,Company Size,Specialities,Company Type,Followers
Marc Brumbaugh,null,null,null,null,null,null,null,null,427
Ciot | Stone & Tile,"Established in 1950 in Montreal, Ciot is a major importer and distributor of Natural & Engineered Stone Slabs, Ceramic Tiles, Artistic Mosaics, Engineered Hardwood and Plumbing accessories.

A top-tier supplier for both residential and commercial markets, Ciot offers a vast, impressive selection of high-quality, exclusive products at affordable prices. Ciot’s customers benefit from access to the best and the latest global products, skilled artisans who work with the industry’s top technology, and helpful experts to assist you in making the best selections for all construction and renovation projects of all scopes.


The company operates showrooms in Montreal, Quebec City, Brossard, Toronto, Vaughan, Mississauga, Detroit, Atlanta, and New York.

---

En affaires depuis 1950, Ciot est aujourd’hui l’un des plus grands détaillants et importateurs de marbre, de granit, d’ardoise, d’onyx, de carreaux de céramique, de mosaïque et d’accessoires d’eau. 

Bénéficiant d’une présence formidable dans les marchés résidentiels et commerciaux, le groupe Ciot offre une vaste sélection de produits exclusifs à des prix abordables. Ciot dessert également le marché des architectes et designers. Nos professionnels trouvent les solutions les mieux adaptés aux besoins, et ce peu importe l’envergure du projet. Des hôtels aux projets résidentiels, nos représentants possèdent les connaissances et l’expertise pour donner la touche personnalisée qui fera d’un projet une grande réussite.

La société possède des espaces de vente à Montréal, Québec, Brossard, Laval, Toronto, Vaughan, Mississauga, Détroit, New York.","Montréal, Québec",Canada,https://www.linkedin.com/redir/redirect?url=http%3A%2F%2Fwww%2Eciot%2Ecom&urlhash=Vjl7&trk=about_website,Wholesale Building Materials,201-500 employees,"Céramique | Ceramic, Pierre naturelle | Natural Stone, Mosaïque | Mosaic, Accessoires de plomberie | Bathroom Accessories, Accessoires de cuisine | Kitchen Accessories, Marble, hardwood, porcelain, sintered stone, quartzite, tile, tiles, slabs, stone slabs, porcelain slabs, InvisaCook, Ciot Studio, Mosaics, Granite, Onyx, Travertine, ceramic tile, ceramics, Natural Stone Slabs, Neolith, Sapienstone, Maxfine, Geoluxe, Gigantec, Grande Marble, pyrolithic stone, stone supplier, retail showrooms, and neolith",Privately Held,"13,163"
Wilmington Community Clinic,"Wilmington Community Clinic provides medical, dental and social services to patients regardless of their ability to pay.","Wilmington, CA",United States,https://www.linkedin.com/redir/redirect?url=http%3A%2F%2Fwww%2Ewilmingtoncc%2Eorg&urlhash=msy_&trk=about_website,Medical Practices,51-200 employees,"Medical, Dental, Social Services, and Mental Health",Nonprofit,537
Nissan Dubai,null,Dubai,الإمارات العربية المتحدة,https://www.linkedin.com/redir/redirect?url=http%3A%2F%2Fnissan-dubai%2Ecom&urlhash=EdA8&trk=about_website,Retail,11-50 employees,null,null,null
Grant Associates,"Grant Associates is a pioneering international landscape architecture practice with offices in Bath, UK and Singapore, Asia.

Our work reconnects people with nature in insightful, delightful and distinctive ways whilst addressing the global challenges of urbanisation, the climate crisis and biodiversity extinction. 

Our design process is underpinned by a knowledge of human behaviour, nature and ecological science combined with innovative design technology. We bring original thinking, creative collaboration and are exploring what regenerative design and the circular economy means to landscape architecture. 

While we enjoy being playful and inventive, our approach isn’t just about experience and aesthetics. It’s about the creation of inspirational places and spaces that have purpose, a distinctive identity, feel good to be in, promote wellbeing and are part of a healthy, biodiverse ecosystem. 

Our varied portfolio includes ambitious large-scale, landmark projects through to small, perfectly formed local ventures. We work just as happily in urban and rural environments but we push and challenge ourselves every time, determined to remain at the forefront of change and relevance in the world of landscape architecture.","Bath, UK",United Kingdom,https://www.linkedin.com/redir/redirect?url=http%3A%2F%2Fwww%2Egrant-associates%2Euk%2Ecom%2F&urlhash=rh7t&trk=about_website,Architecture and Planning,11-50 employees,"Landscape Architecure, Urban Design, Masterplanning, and Creative Ecology",Privately Held,"5,240"
Viña Luis Felipe Edwards,"Established in 1976, Viña Luis Felipe Edwards is undeniably one of Chile’s most progressive wineries.Always keen to invest in new vineyards, the very latest technology and in its people, this Colchagua Valley based operation sits nestled in a secluded horseshoe-shaped valley, separated from the majestic snow-capped Andes by the smaller San Fernando ridge.
Luis Felipe Edwards is a family operation; two generations are actively involved in keeping the brand synonymous with quality and traditional family values.","Vitacura, Metropolitana de Santiago",Chile,https://www.linkedin.com/redir/redirect?url=http%3A%2F%2Fwww%2Elfewines%2Ecom&urlhash=mNA-&trk=about_website,Beverage Manufacturing,201-500 employees,vino and wine,Privately Held,"2,811"
GRUYERIA,"SAVOIR-FAIRE MYTHIQUE, TRADITION INTEMPORELLE
Dans le monde entier GRUYERIA a réalisé et réalise des projets professionnels ou privés répondant aux plus hautes exigences (hôtels, banques, appartements, villas, chalets, résidences secondaires.…). Riche d’un savoir-faire exceptionnel, en mains de la même famille depuis plus d’un siècle, GRUYERIA réunit tous les métiers de la décoration d’intérieur et de l’artisanat pour façonner des univers qui créent la différence. L’agencement est aujourd’hui notre coeur de métier et la réputation de GRUYERIA a largement dépassé les frontières.

Imaginer l’agencement d’un espace non-conventionnel, créer un mobilier sur mesure et/ou entreprendre des travaux plus conséquents, GRUYERIA  est capable de diriger tous les corps de métier et de coordonner leur travail à celui de l’architecte. Ce n’est pas un hasard si les plus grands d’entre-eux font appel à nous…

GRUYERIA compte aujourd’hui environ 80 employés qui partagent une même philosophie : un goût de l’esthétisme ancré dans la tradition et le savoir-faire. ",Bulle,France,https://www.linkedin.com/redir/redirect?url=http%3A%2F%2Fwww%2Egruyeria%2Ech&urlhash=SuVK&trk=about_website,Real Estate,51-200 employees,"Architecture d'intérieur, Gestion globale de projet, Second oeuvre, Gros oeuvre, mobilier sur mesure, décoration d'intérieur , tapisserie , and Agencement (résidence privée ou secondaire, hôtel, banque, bureau)",Self-Owned,null
John DiGiuseppe,null,null,null,null,null,null,null,null,276
John Kellys London,"John Kellys (London) Ltd has been a global supplier of Essential Oils and Aromatic Chemicals to the Flavour and Fragrance industry for over 80 years. As a well-established family business, our philosophy has remained consistent throughout our history – to deliver quality products at competitive prices – with an emphasis on customer service and reliability.

Essential Oils, Aromatic Chemicals, Flavours, Extracts, Oleoresins, Natural colours, Antioxidants, Plant proteins, Functional ingredients, Organic Oils, Chemicals, Fragrance ingredients, Spray dried products, Granulated and encapsulated products, Spices, Emulsifiers, Gums and lot more.","Melton Mowbray, Leicestershire, England",United Kingdom,https://www.linkedin.com/redir/redirect?url=https%3A%2F%2Fjohnkellys%2Ecom%2F&urlhash=8DyL&trk=about_website,Chemical Manufacturing,11-50 employees,"Food and fragrance ingredients, Extracts, Essentail Oils, Oleoresins, Natural colours, Antioxidants, Brown flavours, Flavour blends, Spray dried products, Encapsulated products, Spices, Emulsifiers, and Gums",Privately Held,"1,436"
IPH Ingénierie,"Notre métier est la conception et la maîtrise d’œuvre TCE (tous corps d’état) dans le secteur du bâtiment, en neuf et en réhabilitation.

IPH Ingénierie peut aussi accompagner ses clients en assistance à maîtrise d’ouvrage, audits ou diagnostics.

Notre bureau d’études intervient sur tous types de bâtiment : Scolaire & sportif, établissements publics, hospitalier & EHPAD, logement & habitat, bâtiments sécurisés, culturel & loisir, hôtellerie, tertiaire.

La société est composée de quatre agences qui couvrent les régions Ile De France, Hauts de France, Champagne Ardennes, Normandie, Bretagne et Auvergne Rhône Alpes.

IPH Ingénierie intègre les compétences et expertises dans les domaines des fluides, de la structure, du VRD, de l’économie de la construction, du SSI, du second œuvre et enveloppe du bâtiment ainsi qu’en OPC.

La société est qualifiée OPQIBI dans ces domaines et intègre une démarche BIM dans ses projets en collaboration avec des architectes partenaires.

IPH Ingénierie en 2023 est forte de 55 collaborateurs et fait un chiffre d’affaires de 4,4 M€.","Rouvroy, Hauts-de-France",France,https://www.linkedin.com/redir/redirect?url=http%3A%2F%2Fwww%2Eiph-bet%2Efr&urlhash=zgue&trk=about_website,Construction,51-200 employees,"Ingénierie, Construction, Energie, Tous corps d'état, Conseil, Assistance à maîtrise d'ouvrage, Rénovation réhabilitation, Coordination de chantier, Génie climatique, Courants forts faibles, Voiries et réseaux divers, and Aménagements paysagers",Partnership,351
