CompanyName,Website,Industry,HQ,Country,Description,CompanySize,DateVictimized,NumViews (of threat),RansomDataSize,RansomDataType,RansomwareGroup
Benson Kearley IFG - Insurance Brokers & Financial Advisors,http://bkifg.com,,"Newmarket, ON",,"Benson Kearley IFG is an independent insurance agency leaders at the top of our game, with our feet planted firmly in our community. We provide all lines of personal, commercial and specialty insurance, including plans specifically designed by us for the plastics manufacturing and information technology industries. We treat multi-national organizations with the same uncompromising respect as a local small business owner. We are your Partners In Risk. Your health is our health.

When Benson Kearley merged with IFG in 2011, the core ethical pillars of each parent brokerage reinforced our customer philosophy, ""It's all about our customer"". These are our core values: 

We regard it as a privilege to serve our clients.

Uncompromising integrity and pride in everything we do.

We value each employee as an individual, 
providing an environment to be the best they can be.

Passionate about giving back.

We celebrate our success.


www.Facebook.com/BensonKearleyIFG",51-200 employees,2024-08-14 00:00:00,,1.4 TB,"PII, Customer and Client Data, Employee and HR data, Healthcare Data",BianLian
Stein Fibers,https://steinfibers.com,,"Albany, New York",,"OUR MISSION

Stein Fibers, Ltd. has a straightforward mission: to meet our customers fiber requirements by combining the most extensive in-stock product offerings in the marketplace with unsurpassed responsiveness.

WORLDWIDE SERVICE

Now in our 5th decade, we are among the largest suppliers and producers of polyester fiberfill and non-woven fibers in North America, with annual shipments exceeding 500 million pounds.

GREEN INITIATIVE

With global sourcing strategies, long-term relationships, contacts to overseas suppliers, and domestic production facilities, Stein Fibers, Ltd. is a distributor of polyester as well as a domestic producer with a green focus.",201-500 employees,2024-08-30 00:00:00,,,,BianLian
Majestic Metals,https://fathommfg.com/fathom-denver,Manufacturing,Colorado,United States,"We manufacture complete metal buildings and metal building systems for industrial, commercial, agricultural and residential use.",51-200 employees,2024-08-09 00:00:00,,735 GB,"Customer and Client Data, Employee and HR data, Databases, Sensitive Communication",BianLian
GCA Global Cargo Alliance,https://gcargo.com,,"Miami, Florida",,"GCA Global Cargo Alliance, a leading freight forwarder in the logistics market established in 1994, is a customer-dedicated company that delivers premium service at very competitive prices. With headquarters in Miami, FL, GCA represents the best shipping solution for your business.

The business started as a courier company, shipping packages from Miami to Latin America. As the business grew, the customers needs became more and more demanding; contributing to what GCA has now evolved to. GCA currently offers shipping solutions to customers all over the world; relying on a professional network of agents that represent GCA in the 5 continents.

In 2007, and thanks to the companys continuous growth, GCA relocated to a 45.000 Sq. Ft. CFS (Container Freight Station) fully bonded warehouse, expanding its capacity to receive, store and handle your shipments no matter their size or contents.

GCA is an NVOCC and OTI, which does not only offer a well maintained know-how in the logistics operations, but also a professional staff qualified enough to assure an appropriate handling of your cargo in Air, Ocean, Ground, and Courier transportation. GCAs involvement in various international trade networks links us to many service providers throughout the globe, reinforcing our drive to provide transnational end-to-end logistics solutions to our customers.",201-500 employees,2024-08-09 00:00:00,,,,BianLian
Studio Legale Associato Isolabella,,,Milano,,"Lo Studio Legale Isolabella ?® stato fondato dallavvocato Lodovico Isolabella allinizio degli anni 60.  

Lo Studio e i suoi professionisti operano esclusivamente nellambito del Diritto Penale, in particolare nel Diritto Penale dImpresa, fornendo assistenza prevalentemente a Societ? (in ogni settore, da quello Finanziario a quello Industriale e Commerciale), Compagnie di Assicurazione, Istituti di Credito, Strutture Sanitarie pubbliche e private, assistendo direttamente sia le Persone Giuridiche, che le persone fisiche.

Studio Isolabella was founded by Lodovico Isolabella at the beginning of the 1960s and operates exclusively in the field of criminal law, with particular focus on corporate criminal law. 
The Firm and its professionals work exclusively in the branch of Criminal Law, in particular Corporate Criminal Law, providing assistance mainly to companies operating in different sectors (Banks, Funds, Industrial Companies, Hospitals, Public Bodies) assisting both legal and natural persons.",11-50 employees,2024-08-24 00:00:00,,,,BianLian
Texas Centers for Infectious Disease Associates,https://www.texascentersid.com,Healthcare,"FORT WORTH, TX",United States,Infectious disease consulting services and infusion pharmacy,11-50 employees,2024-08-14 00:00:00,,300 Gb,"PII, Healthcare Data",BianLian
Eric Rossi CPA LLC,,Legal,"Pittsburgh, Pennsylvania",United States,"Our firm provides outstanding service to our clients because of our dedication to three underlying principles: professionalism, responsiveness, and quality.",2-10 employees,2024-08-30 00:00:00,,910 GB,"PII, Customer and Client Data, Employee and HR data, Legal Documents, Sensitive Communication",BianLian
Bunkhouse Group,,Hospitality,"Austin, Texas",United States,"Bunkhouse has a reputation for building memorable experiences that offer more than just a good night's sleep and a great cup of coffee. Passion for design, tireless attention to detail and a commitment to creating authentic culture have earned our properties a unique place in the hearts and minds of those who visit us. Our work is rooted in the communities in which we exist, and we believe above all else in creating an awareness of and connection to a sense of place in all that we do.

Our success is best measured by the loyalty of our guests, employees, stakeholders, vendors and partners, and we are proud to see those meaningful connections translate into a thriving business. We at Bunkhouse are proud to build businesses with soul. It's not only the right thing to do, and the most fun Äì it's sustainable, profitable and scalable.",,2024-07-24 00:00:00,,2.7 TB,"Customer and Client Data, Employee and HR data, Databases, Sensitive Communication",BianLian
ICWI,https://icwi.com,Insurance,"Kingston, Kingston",Jamaica,"ICWI is a leading General Insurance Company in the Caribbean operating in nine islands throughout the region: the Bahamas, the British Virgin Islands, the Cayman Islands, Jamaica, St. Maarten, St. Kitts & Nevis, Turks & Caicos, Dominica and Trinidad & Tobago. Bolstered by over 55 years of experience, we intend to continue our expansion throughout the region, leveraging the risk diversification and operational efficiencies provided by scale.",201-500 employees,2024-08-30 00:00:00,,3.5 Tb,"PII, Customer and Client Data, Employee and HR data",BianLian
"Wayne Wright, LLP.",https://www.waynewright.com,Legal,"Austin, Texas",United States,"At Wayne Wright LLP, we are fully equipped to handle your injury case with the utmost compassion and care. Our team of injury attorneys have the experience and skill needed to get you the maximum settlement for your case so that you can get your life back on track. In this day and age, its not enough to demand your justice, so we are going to fight for it.",51-200 employees,2024-08-30 00:00:00,,1 TB,"PII, Employee and HR data, Sensitive Communication",BianLian
